     0.00001     0.48909     0.56576
     0.00002     0.51373     0.60104
     0.00003     0.52901     0.61847
     0.00004     0.54033     0.63042
     0.00005     0.54938     0.63958
     0.00006     0.55690     0.64690
     0.00007     0.56345     0.65320
     0.00008     0.56924     0.65864
     0.00009     0.57445     0.66343
     0.00010     0.57933     0.66778
     0.00020     0.61913     0.69643
     0.00030     0.64288     0.71364
     0.00040     0.65993     0.72603
     0.00050     0.67335     0.73587
     0.00060     0.68465     0.74420
     0.00070     0.69404     0.75118
     0.00080     0.70246     0.75745
     0.00090     0.70974     0.76290
     0.00100     0.71638     0.76789
     0.00200     0.76107     0.80188
     0.00300     0.78822     0.82290
     0.00400     0.80800     0.83834
     0.00500     0.82373     0.85070
     0.00600     0.83654     0.86078
     0.00700     0.84760     0.86952
     0.00800     0.85728     0.87717
     0.00900     0.86595     0.88403
     0.01000     0.87388     0.89036
     0.02000     0.92630     0.93271
     0.03000     0.96400     0.96276
     0.04000     1.01896     1.00798
     0.05000     1.06312     1.04497
     0.06000     1.09917     1.07608
     0.07000     1.12632     1.10087
     0.08000     1.14474     1.11926
     0.09000     1.15564     1.13153
     0.10000     1.16138     1.13807
