    0.00001    0.3956    0.4751
    0.00002    0.4244    0.5228
    0.00003    0.4423    0.5454
    0.00004    0.4556    0.5606
    0.00005    0.4661    0.5721
    0.00006    0.4749    0.5813
    0.00007    0.4825    0.5891
    0.00008    0.4892    0.5959
    0.00009    0.4953    0.6018
    0.00010    0.5009    0.6072
    0.00020    0.5494    0.6423
    0.00030    0.5785    0.6632
    0.00040    0.5990    0.6781
    0.00050    0.6153    0.6899
    0.00060    0.6289    0.6999
    0.00070    0.6401    0.7082
    0.00080    0.6502    0.7157
    0.00090    0.6588    0.7221
    0.00100    0.6667    0.7280
    0.00200    0.7196    0.7681
    0.00300    0.7512    0.7926
    0.00400    0.7741    0.8104
    0.00500    0.7921    0.8246
    0.00600    0.8068    0.8361
    0.00700    0.8193    0.8460
    0.00800    0.8303    0.8547
    0.00900    0.8400    0.8624
    0.01000    0.8489    0.8695
    0.02000    0.9064    0.9159
    0.03000    0.9443    0.9458
    0.04000    1.0052    0.9958
    0.05000    1.0549    1.0371
    0.06000    1.0959    1.0721
    0.07000    1.1274    1.1005
    0.08000    1.1494    1.1222
    0.09000    1.1631    1.1374
    0.10000    1.1712    1.1464
